No,R,PCC,XYZ,C Blue Red Yellow
149,....,[-0.17445244 -0.20470503 -0.14942471],[ 4.14578786  3.06834599  0.89154295],[ 0.1  0.3  0.9]
150,....,[-0.17505728 -0.20538772 -0.15072181],[ 4.12535186  3.04587493  0.81555954],[ 0.1  0.3  1. ]
151,....,[-0.1238015  -0.14655207 -0.09268276],[ 5.02409847  3.21624851  6.16542941],[ 0.1  0.4  0. ]
152,....,[-0.15050253 -0.17780076 -0.1228573 ],[ 4.4800226   3.08061639  3.43553456],[ 0.1  0.4  0.1]
153,....,[-0.16007908 -0.18834636 -0.13324065],[ 4.28444556  3.0086748   2.44578531],[ 0.1  0.4  0.2]
154,....,[-0.16513183 -0.19376859 -0.1388547 ],[ 4.17839664  2.95874242  1.91448664],[ 0.1  0.4  0.3]
155,....,[-0.1682656  -0.19708852 -0.1425407 ],[ 4.1099812   2.92016881  1.57885126],[ 0.1  0.4  0.4]
156,....,[-0.17039884 -0.19933042 -0.14524461],[ 4.06117017  2.88855065  1.34623419],[ 0.1  0.4  0.5]
157,....,[-0.17194317 -0.20094236 -0.14737523],[ 4.02394087  2.86163317  1.17494869],[ 0.1  0.4  0.6]
158,....,[-0.17311156 -0.20215267 -0.14913922],[ 3.99415351  2.83810597  1.04329048],[ 0.1  0.4  0.7]
159,....,[-0.17402548 -0.20309037 -0.1506527 ],[ 3.9694466   2.81713997  0.93878699],[ 0.1  0.4  0.8]
160,....,[-0.17475931 -0.20383405 -0.15198619],[ 3.94837116  2.79817741  0.85373752],[ 0.1  0.4  0.9]
161,....,[-0.17536119 -0.20443442 -0.15318509],[ 3.92998714  2.78082514  0.78311998],[ 0.1  0.4  1. ]
162,....,[-0.13297426 -0.15630227 -0.10402074],[ 4.6731331   2.92168499  5.12963722],[ 0.1  0.5  0. ]
163,....,[-0.15351689 -0.18057045 -0.12773881],[ 4.25888371  2.82343222  3.06347817],[ 0.1  0.5  0.1]
164,....,[-0.16160102 -0.18954639 -0.13673711],[ 4.09476602  2.76839409  2.23955007],[ 0.1  0.5  0.2]
165,....,[-0.16604884 -0.19431456 -0.141775  ],[ 4.00231593  2.72938868  1.77972969],[ 0.1  0.5  0.3]
166,....,[-0.16888312 -0.19728179 -0.14514256],[ 3.9414038   2.69888926  1.48247656],[ 0.1  0.5  0.4]
167,....,[-0.17085114 -0.19930293 -0.14763932],[ 3.89737978  2.67368263  1.27319893],[ 0.1  0.5  0.5]
168,....,[-0.17229826 -0.20076251 -0.14962033],[ 3.86352249  2.65209164  1.11730751],[ 0.1  0.5  0.6]
169,....,[-0.17340727 -0.20186024 -0.15126828],[ 3.8362883   2.63312861  0.9964064 ],[ 0.1  0.5  0.7]
170,....,[-0.17428432 -0.20271055 -0.15268715],[ 3.81362298  2.61616247  0.89975264],[ 0.1  0.5  0.8]
171,....,[-0.17499532 -0.20338388 -0.15394068],[ 3.79424999  2.60076546  0.82062831],[ 0.1  0.5  0.9]
172,....,[-0.13956427 -0.16332708 -0.1123791 ],[ 4.40793868  2.70509049  4.39558152],[ 0.1  0.6  0. ]
173,....,[-0.15597463 -0.18284357 -0.13166271],[ 4.08015046  2.63011655  2.76894482],[ 0.1  0.6  0.1]
174,....,[-0.16292097 -0.1906124  -0.1395803 ],[ 3.93978274  2.58620034  2.06923096],[ 0.1  0.6  0.2]
175,....,[-0.16687574 -0.19485893 -0.14415404],[ 3.85807092  2.55450822  1.66569365],[ 0.1  0.6  0.3]
176,....,[-0.1694528  -0.19754164 -0.14726356],[ 3.80320448  2.52945977  1.39958795],[ 0.1  0.6  0.4]
177,....,[-0.17127194 -0.19938491 -0.14959327],[ 3.7630642   2.50860454  1.20964972],[ 0.1  0.6  0.5]
178,....,[-0.17262705 -0.20072268 -0.15145466],[ 3.73193902  2.49064153  1.06671342],[ 0.1  0.6  0.6]
179,....,[-0.17367669 -0.20173137 -0.15301071],[ 3.70676025  2.47479553  0.95497487],[ 0.1  0.6  0.7]
180,....,[-0.17451431 -0.20251335 -0.1543553 ],[ 3.68572318  2.46056685  0.86507212],[ 0.1  0.6  0.8]
181,....,[-0.14454643 -0.16863881 -0.11887396],[ 4.19752306  2.53697283  3.84725365],[ 0.1  0.7  0. ]
182,....,[-0.15802124 -0.18474126 -0.1349483 ],[ 3.93067682  2.47759265  2.52900626],[ 0.1  0.7  0.1]
183,....,[-0.16407502 -0.19155245 -0.14199717],[ 3.80882854  2.44147653  1.92549194],[ 0.1  0.7  0.2]
184,....,[-0.16762239 -0.19537075 -0.1461853 ],[ 3.73583016  2.41499192  1.56742073],[ 0.1  0.7  0.3]
